Time,CPM
1710974877.625067,14
1710974887.6354446,20
1710974897.6458936,20
1710974907.6562917,26
1710974917.6667035,15
1710974927.677087,18
1710974937.6836982,19
1710974947.6898634,16
1710974957.700226,15
1710974967.7106016,17
1710974977.7209766,19
1710974987.7313561,13
