Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712793802.32,0,0,53.5,4.0,5.0,5.0,27.8829296875,46.7893033082793,1005.3696974681421,65.81645835696884,23006.0
1712793804.31,0,0,44.5,4.0,5.0,5.0,27.98576171875,46.652066101812565,1005.3773386929856,65.75243672683783,39300.5
1712793806.31,0,0,44.5,4.0,5.0,5.0,28.05939453125,46.29734144885905,1005.3804818022265,65.7261023723311,54037.5
1712793808.27,0,0,52.5,4.0,5.0,5.0,28.05939453125,46.29734144885905,1005.3804818022265,65.7261023723311,54037.5
1712793810.33,0,0,50.0,3.5,4.5,4.5,28.11955078125,46.13983907542358,1005.3750455373006,65.77164973863492,66797.5
1712793812.3,0,0,51.0,3.5,4.5,4.5,28.1735546875,46.63869677162549,1005.3706012956583,65.80888571987737,77518.5
1712793814.32,0,0,51.0,2.0,3.0,4.0,28.22833984375,46.79560647056,1005.3769310154053,65.75585263852803,86906.0
1712793816.3,0,0,35.0,2.0,3.0,4.0,28.27375,46.94536989602944,1005.3323163013135,66.12966077303042,94787.5
1712793818.32,0,0,47.0,2.0,3.0,3.5,28.31916015625,47.10142843059715,1005.3204801080807,66.22883340152568,100708.5
1712793820.29,0,0,43.5,2.0,3.0,3.5,28.36349609375,47.43584161608167,1005.3077142942502,66.33579645693541,106680.0
1712793822.32,0,0,51.0,2.0,3.0,3.0,28.4036328125,47.94307789719144,1005.2905631824642,66.47950486357459,111418.5
1712793824.29,0,0,51.0,2.0,3.0,3.0,28.4364453125,48.49409309607916,1005.2880141655344,66.50086312517334,116822.5
1712793826.33,0,0,41.5,3.0,4.0,4.0,28.46720703125,48.73335965921785,1005.2768799278476,66.5941577153583,121477.5
1712793828.3,0,0,45.5,3.0,4.0,4.0,28.4989453125,48.73126083868979,1005.265633363503,66.68839435074663,126091.5
1712793830.32,0,0,44.0,3.0,4.0,4.0,28.520625000000003,48.73716002369582,1005.2722329346509,66.6330954582516,131461.5
1712793832.31,0,0,43.5,3.0,4.0,4.0,28.531367187500003,48.438237135129754,1005.265874115564,66.68637704138507,136179.5
1712793834.3,0,0,43.5,3.0,4.0,4.0,28.5372265625,48.03105973137184,1005.2548712581613,66.77857242738392,139703.0
1712793836.29,0,0,45.0,3.0,4.0,4.0,28.55255859375,47.54284967682848,1005.2526684295983,66.79703052565257,143592.0
1712793838.32,0,0,48.5,3.0,3.0,3.0,28.57560546875,47.28423663756129,1005.2606663719691,66.73001378435856,145526.0
1712793840.3,0,0,54.0,3.0,3.0,3.0,28.6044140625,47.435513596930306,1005.2635383803067,66.70594862860177,149096.0
1712793842.32,0,0,54.0,3.0,3.0,3.5,28.6298046875,47.52489748688867,1005.2590132889729,66.74386534108672,150653.5
1712793844.3,0,0,50.5,3.0,3.0,3.5,28.6587109375,47.29475359928546,1005.259450133716,66.74020492339093,155172.0
1712793846.33,0,0,46.5,3.0,3.0,4.0,28.69044921875,46.7798872169413,1005.2568069229972,66.76235302501141,156553.0
1712793848.3,0,0,44.5,3.0,3.0,4.0,28.72716796875,46.27007881912523,1005.2468719549415,66.8456009105527,158324.5
1712793850.32,0,0,36.5,3.0,4.0,4.0,28.77619140625,46.600941611709345,1005.247827607685,66.83759316698699,157500.5
1712793852.28,0,0,36.5,3.0,4.0,4.0,28.82150390625,48.02747164433924,1005.2365758693248,66.93187542706737,154663.5
1712793854.32,0,0,47.5,3.0,4.0,4.0,28.8708203125,49.124164060927896,1005.2276310616576,67.00682761763068,152497.5
1712793856.3,0,0,39.0,3.0,4.0,4.0,28.91896484375,50.139786682447635,1005.2193233164168,67.07644211351138,153038.5
1712793858.29,0,0,45.5,3.0,4.0,4.0,28.91896484375,50.139786682447635,1005.2193233164168,67.07644211351138,153038.5
1712793860.28,0,0,45.5,3.0,4.0,4.0,28.96857421875,50.41836645407014,1005.2177506385581,67.08962036680235,154321.0
1712793862.32,0,0,47.5,3.0,4.0,4.0,29.023359375,50.89576215387117,1005.2238800074363,67.03825953274733,150442.5
1712793864.29,0,0,35.5,3.0,4.0,4.0,29.074726562499997,51.298441442784736,1005.2312448581481,66.97654604105323,151863.0
1712793866.32,0,0,47.5,2.0,3.0,3.0,29.124628906250003,51.76490247823611,1005.2344436988897,66.94974164669856,149767.0
1712793868.29,0,0,50.0,2.0,3.0,3.0,29.184296875,51.974893832981905,1005.2425786032593,66.88157627858706,152828.5
1712793870.3,0,0,50.0,2.0,3.0,3.0,29.243671875,51.784227285313776,1005.2433000396743,66.87553111625894,155237.0
1712793872.3,0,0,45.0,2.0,3.0,3.0,29.30021484375,51.53663962586234,1005.2488214265338,66.82926565866345,157499.0
1712793874.33,0,0,39.0,2.0,3.0,3.0,29.349140625,51.11542338988066,1005.2477615896681,66.83814635641099,160368.5
