Time,CPM
1710975974.763644,11
1710975984.7669463,8
1710975994.775652,14
1710976004.7836735,13
1710976014.7939074,16
1710976024.804109,17
1710976034.8143103,15
1710976044.824513,8
1710976054.834025,14
1710976064.8438766,15
1710976074.8542657,15
1710976084.864653,16
