Time,CPM
1710973992.597145,49
1710974002.6039426,62
1710974012.614284,46
1710974022.6236527,46
1710974032.6339958,41
1710974042.6443684,67
1710974052.6518219,60
1710974062.662194,58
1710974072.671757,58
1710974082.6821885,54
1710974092.6925375,34
1710974102.702916,62
