Time,CPM
1710975390.3595881,11
1710975400.3699627,25
1710975410.38035,18
1710975420.390735,15
1710975430.4010913,11
1710975440.410694,16
1710975450.4210956,12
1710975460.4315104,11
1710975470.4418812,17
1710975480.4522882,22
1710975490.4626732,16
1710975500.4730668,29
