Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712806344.67,0,0,94.5,0.0,0.0,0.0,18.067011718750003,51.58015829375883,1002.7409668000357,87.86458806300884,152386.5
1712806346.64,0,0,79.5,0.0,0.0,0.0,18.1661328125,51.36569140693369,1002.754813799151,87.74832569041598,184446.0
1712806348.65,0,0,79.5,0.0,0.0,0.0,18.239375000000003,51.13586172225531,1002.7592987842171,87.71066901423231,209746.5
1712806350.64,0,0,83.0,0.0,0.0,0.0,18.29376953125,50.919456292112045,1002.756012741359,87.73825912921387,226014.0
1712806352.72,0,0,93.0,0.0,0.0,0.0,18.33537109375,50.73884842586449,1002.7517007678728,87.77446326383121,240672.5
1712806354.63,0,0,79.5,0.0,0.0,0.0,18.367109375,50.57265500727536,1002.7478730223052,87.80660177763733,249588.0
1712806356.66,0,0,88.0,0.0,0.0,0.0,18.393671875000003,50.443034553965404,1002.7549270740512,87.74737457072966,255890.0
1712806358.58,0,0,88.0,0.0,0.0,0.0,18.393671875000003,50.443034553965404,1002.7549270740512,87.74737457072966,255890.0
1712806360.66,0,0,109.0,0.0,0.0,0.0,18.41095703125,50.333981231520156,1002.7566538747601,87.73287608175866,261801.0
1712806362.63,0,0,92.0,0.0,0.0,0.0,18.42580078125,50.255544237101816,1002.7525944419863,87.76695976402695,267414.5
1712806364.66,0,0,87.0,0.0,0.0,0.0,18.4409375,50.192597633849374,1002.7634731530529,87.67562048787158,271496.0
1712806366.63,0,0,88.0,0.0,0.0,0.0,18.453242187500003,50.129327711962226,1002.7653628888992,87.65975406495457,271939.0
1712806368.64,0,0,88.0,0.0,0.0,0.0,18.46720703125,50.081693279403794,1002.758130059731,87.72048179336127,275811.5
1712806370.63,0,0,73.5,0.0,0.0,0.0,18.48322265625,50.04664502713423,1002.7602773910396,87.70245253309557,276858.0
1712806372.66,0,0,96.0,0.0,0.0,0.0,18.49884765625,50.0238819728943,1002.762620112687,87.68278281207057,276157.0
1712806374.64,0,0,89.0,0.0,0.0,0.0,18.513789062500003,49.994876060438415,1002.7570178444166,87.72982012348717,277087.0
1712806376.64,0,0,89.0,0.0,0.0,0.0,18.528046875,49.96579180638453,1002.7545209109353,87.7507847907672,279912.0
1712806378.63,0,0,87.0,0.0,0.0,0.0,18.54416015625,49.9492575070997,1002.7483266110463,87.80279333085917,278864.0
1712806380.66,0,0,87.5,0.0,0.0,0.0,18.55841796875,49.926339370467986,1002.7483777781897,87.80236371856995,279678.0
1712806382.65,0,0,88.0,0.0,0.0,0.0,18.57248046875,49.881841933285855,1002.7413003340137,87.86178762406804,279676.5
1712806384.66,0,0,84.5,0.0,0.0,0.0,18.58185546875,49.855261847758,1002.7365814017802,87.90140909145111,282313.0
1712806386.62,0,0,84.5,0.0,0.0,0.0,18.5895703125,49.837720281656445,1002.7358857309778,87.9072501488393,282312.0
1712806388.66,0,0,92.5,0.0,0.0,0.0,18.59904296875,49.79884498237021,1002.7347298660625,87.91695514257293,284631.0
1712806390.63,0,0,97.0,0.0,0.0,0.0,18.606074218750003,49.77507037978738,1002.7328899949223,87.93240328560174,284884.5
1712806392.66,0,0,92.5,0.0,0.0,0.0,18.61525390625,49.73924815556448,1002.7337937768782,87.92481484356612,284506.5
1712806394.63,0,0,92.0,0.0,0.0,0.0,18.6243359375,49.715728353352844,1002.7285825482031,87.96857005857038,284877.0
1712806396.65,0,0,92.0,0.0,0.0,0.0,18.6159375,49.68394991382172,1002.7289860350452,87.96518223473512,289890.5
1712806398.64,0,0,90.0,0.0,0.0,0.0,18.59494140625,49.64143384120453,1002.7304186669819,87.95315335399019,292990.0
1712806400.67,0,0,93.0,0.0,0.0,0.0,18.5801953125,49.59660781509321,1002.732953872453,87.9318669455878,293508.0
1712806402.64,0,0,98.5,0.0,0.0,0.0,18.56896484375,49.561439205281104,1002.7362688934907,87.9040330023715,296015.5
1712806404.66,0,0,98.5,0.0,0.0,0.0,18.56671875,49.55194718923764,1002.7393121392215,87.87848106874813,295218.5
1712806406.65,0,0,84.5,0.0,0.0,0.0,18.56955078125,49.56765763371601,1002.7321484772986,87.93862930463447,296019.5
1712806408.63,0,0,86.0,0.0,0.0,0.0,18.56955078125,49.56765763371601,1002.7321484772986,87.93862930463447,296019.5
1712806410.63,0,0,86.5,0.0,0.0,0.0,18.57228515625,49.57106058356614,1002.7333225286175,87.92877159868914,294825.5
1712806412.66,0,0,93.0,0.0,0.0,0.0,18.5731640625,49.58346311663355,1002.7305423113022,87.95211519486746,295085.5
1712806414.64,0,0,93.0,0.0,0.0,0.0,18.577265625,49.59010569480594,1002.7246521905041,88.00157074120014,294953.0
1712806416.66,0,0,89.5,0.0,0.0,0.0,18.579609375,49.571941952332054,1002.7217721313848,88.02575284619951,297087.5
1712806418.63,0,0,98.5,0.0,0.0,0.0,18.576875,49.562390644485134,1002.721448325103,88.0284716701668,296413.5
1712806420.66,0,0,84.0,0.0,0.0,0.0,18.578046875,49.56867972126291,1002.7285095541656,87.9691829187548,297084.0
1712806422.64,0,0,90.5,0.0,0.0,0.0,18.57306640625,49.555784623253935,1002.7261283267994,87.98917655612475,298431.5
1712806424.65,0,0,90.5,0.0,0.0,0.0,18.57228515625,49.55569062116704,1002.7256714628077,87.99301255223924,299395.0
1712806426.63,0,0,79.0,0.0,0.0,0.0,18.5727734375,49.54345442063525,1002.7256382147243,87.99329171876153,296950.5
1712806428.67,0,0,84.5,0.0,0.0,0.0,18.5676953125,49.536696534296794,1002.7179928604444,88.05748513161618,299243.0
