Time,CPM
1710976984.919594,11
1710976994.9297984,14
1710977004.9397779,12
1710977014.9476483,10
1710977024.9578094,15
1710977034.9679828,14
1710977044.9781823,12
1710977054.98769,10
1710977064.9979253,8
1710977075.0076373,14
1710977085.0178342,13
1710977095.0276103,7
