Time,pm25,pm10,Temperature,Pressure,Humidity,Altitude,Gas
1707954435.3064206,1,10,34.7880078125,692.6947881967876,100,3095.0960444746106,597874
1707954436.31718,1,10,24.400703125,1005.1770656690625,43.850385805663215,67.43054604708811,96417
1707954437.3279731,1,10,24.4333203125,1005.1755719377302,43.74437357635561,67.44306320094438,102830
1707954438.3400314,1,13,24.4704296875,1005.181453051516,43.60238194465028,67.39378079356858,110294
1707954439.352086,1,13,24.5051953125,1005.1800355643941,43.46022799574711,67.40565899465894,117187
1707954440.3640788,1,13,24.5313671875,1005.1834331318943,43.335446039536606,67.37718821902817,124646
1707954441.3758488,2,12,24.551484375,1005.1803255037888,43.21613617079152,67.40322937117631,129691
1707954442.3867018,2,12,24.567890625,1005.176285286659,43.096482622410534,67.43708548533237,135161
1707954443.3974707,2,12,24.5829296875,1005.1803281620842,43.001034747912655,67.40320709529533,140326
1707954444.4082232,2,13,24.592109375,1005.1781893203377,42.892839259409186,67.42113009606187,144942
1707954445.4189773,2,13,24.595234375,1005.1712701993099,42.80827946895252,67.47911094673843,149491
1707954446.429781,2,13,24.595234375,1005.1764353922206,42.741591688497145,67.43582763239445,152862
1707954447.4416707,2,12,24.5925,1005.182274392815,42.68068093124768,67.386898157266,156389
1707954448.453642,2,12,24.590546875,1005.1842314186107,42.63805252450212,67.37049878501534,159070
1707954449.464538,2,12,24.5876171875,1005.1794192028563,42.613493999639076,67.41082396030626,162144
1707954450.4752715,2,11,24.582734375,1005.1782856479497,42.5887192523589,67.42032289221514,164874
1707954451.4860175,2,11,24.577265625,1005.1693028210511,42.56993737889243,67.4955972421572,167379
1707954452.496724,2,11,24.57609375,1005.1639345737639,42.58191564168531,67.540582374918,168822
1707954453.5074022,1,10,24.58546875,1005.165560020483,42.77685931608082,67.52696134690918,169961
1707954454.5190792,1,10,24.595234375,1005.1712701993099,43.288002174452544,67.47911094673843,169471
1707954455.5310369,1,10,24.6034375,1005.169248414396,44.02638210213859,67.49605316105189,170125
1707954456.543082,1,10,24.616328125,1005.1663165834457,44.79310311702997,67.52062145566428,169634
1707954457.5551085,1,10,24.631171875,1005.1700354849288,45.66218120606483,67.48945764033786,170290
1707954458.567092,1,10,24.6485546875,1005.1710363618299,46.48642133512085,67.48107046370733,170125
1707954459.579042,1,9,24.6665234375,1005.1661106088875,47.3395942796419,67.52234749311557,169961
1707954460.591033,1,9,24.6841015625,1005.1570976633756,48.16563270292093,67.59787497285141,170785
1707954461.603056,1,9,24.7051953125,1005.1349143171708,48.83266442208503,67.78377127956551,170290
1707954462.6150708,1,10,24.727265625,1005.1212195804063,49.458234182707606,67.89853474905983,170951
1707954463.6274304,1,10,24.749140625,1005.1158116990712,49.92164733161581,67.94385376545479,172625
1707954464.6397367,1,10,24.7712109375,1005.103833255439,50.17738176587309,68.04423597640508,172794
1707954465.6517496,1,10,24.791328125,1005.0989782249512,50.25590991374894,68.08492256425158,173988
1707954466.6637506,1,10,24.8118359375,1005.1033740170235,50.22056792368207,68.04808452299905,173817
1707954467.6756957,1,10,24.8348828125,1005.1222715205472,50.08433723874606,67.88971932477943,174851
1707954468.6877007,1,7,24.855,1005.1346350832106,49.94782613172003,67.78611127962904,177314
1707954469.6996458,1,7,24.87609375,1005.1399887052648,49.64741171570202,67.74124764506205,177314
1707954470.711672,1,7,24.8950390625,1005.1435356598267,49.26533549816044,67.71152408572614,179664
1707954471.7236989,0,5,24.910078125,1005.1199967621709,48.92126119187506,67.90878216811821,180584
1707954472.7356293,0,5,24.9262890625,1005.1087154126569,48.67836876269549,68.00332221902363,180215
1707954473.7476678,0,5,24.9442578125,1005.1123768403806,48.54259881420984,67.97263860042001,188250
1707954474.7598248,0,4,24.963984375,1005.1223683446769,48.46982547265765,67.88890792367295,188865
1707954475.7718825,0,4,24.9868359375,1005.1340436024949,48.42253773789104,67.7910679310236,189381
1707954476.7838924,0,4,25.0091015625,1005.134418422379,48.41278763123164,67.78792691287438,189692
1707954477.796131,0,4,25.0258984375,1005.1464878523541,48.33342776404129,67.68678471043192,190737
1707954478.808334,0,4,25.042890625,1005.141648046975,48.12892534703934,67.72734231348562,190004
1707954479.8226662,0,4,25.06359375,1005.1446215416809,47.96887021894132,67.70242438824455,191580
1707954480.8348687,0,4,25.08234375,1005.1133726152107,47.90868571726847,67.96429379066774,190737
1707954481.8468726,0,4,25.1065625,1005.1083278270808,48.0179849272601,68.0065702818818,191263
1707954482.8589602,0,4,25.1282421875,1005.1094513134138,48.239729119676284,67.99715519171558,191368
1707954483.8707695,0,5,25.135859375,1005.1098921439967,48.34090748734953,67.99346092597621,192645
1707954484.882782,0,5,25.1383984375,1005.1071670704115,48.115791680785456,68.01629771552905,193290
1707954485.894614,0,5,25.143671875,1005.0968677833049,47.87879845511057,68.10260873750052,193614
1707954486.9065108,0,5,25.1469921875,1005.0764696670286,47.654359963434686,68.2735529993165,194265
1707954487.9183648,0,5,25.151875,1005.0534661974103,47.53640659427653,68.4663345202475,193398
1707954488.9297335,0,5,25.1440625,1005.0165190643377,47.404499716945395,68.77597896239627,194156
1707954489.941473,0,6,25.126484375,1004.9824998413271,47.202997230474395,69.06109349210601,196691
1707954490.9532216,0,6,25.105390625,1004.9409882264332,46.85212523348477,69.4090122168301,196356
1707954491.964817,0,6,25.096796875,1004.9044845584044,46.472489406672494,69.71496776269103,196914
1707954492.9765968,0,5,25.0973828125,1004.8675389987606,46.36719835480101,70.02463618695245,197813
1707954493.9883626,0,5,25.0946484375,1004.8475442519267,46.416441426318976,70.19223098991039,196691
