Time,CPM
1710975840.0993114,8
1710975850.1095207,12
1710975860.1198375,10
1710975870.1276715,17
1710975880.135604,8
1710975890.1436055,9
1710975900.1539412,14
1710975910.1642087,15
1710975920.1717062,9
1710975930.1819565,11
1710975940.1922626,6
1710975950.1996224,14
