Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712791923.29,0,0,36.5,2.0,3.0,3.0,29.8458203125,36.89235485355202,1006.9301089728449,52.75078466907358,116763.0
1712791925.31,0,0,39.5,1.5,2.5,2.5,28.72990234375,38.48565823944264,1007.0043475416485,52.12957553520992,43517.5
1712791927.28,0,0,37.5,1.5,2.5,2.5,28.16359375,38.3872112880734,1007.0408599019061,51.82406405639535,69665.0
1712791929.3,0,0,37.5,1.0,2.0,2.0,27.8716015625,38.23384644131032,1007.0628240091467,51.64028650374948,90679.5
1712791931.28,0,0,41.0,1.0,2.0,2.0,27.72697265625,38.10799211340121,1007.0785104790184,51.50903744146882,107029.0
1712791933.33,0,0,40.5,1.5,2.5,2.5,27.664375,38.01127550255406,1007.089969897426,51.41315740174045,121050.0
1712791935.25,0,0,31.0,1.5,2.5,2.5,27.664375,38.01127550255406,1007.089969897426,51.41315740174045,121050.0
1712791937.31,0,0,44.0,2.0,3.0,3.0,27.6434765625,37.93935588408793,1007.1000535722269,51.32878859805294,133677.0
1712791939.29,0,0,44.0,2.0,3.0,3.0,27.640156249999997,37.895446175625935,1007.1066027179572,51.27399311544461,142089.5
1712791941.31,0,0,29.5,2.0,3.0,3.0,27.654804687499997,37.99573977774388,1007.112854940667,51.2216822631886,150796.5
1712791943.28,0,0,46.0,2.0,3.0,3.0,27.6766796875,37.957369424023774,1007.1156030960324,51.19868918348357,158112.0
1712791945.32,0,0,41.5,1.0,2.0,2.0,27.70060546875,37.794391585950045,1007.1122746069001,51.22653779515613,164628.5
1712791947.27,0,0,41.5,1.0,2.0,2.0,27.72541015625,37.573676458782785,1007.1009197529141,51.32154135970288,170677.0
1712791949.31,0,0,51.0,0.0,1.0,1.0,27.75001953125,37.36481599388797,1007.1133809217118,51.21728151461713,176316.0
1712791951.29,0,0,47.5,0.0,1.0,1.0,27.7735546875,37.1560939949735,1007.1119816852222,51.22898856662008,179726.0
1712791953.32,0,0,39.5,0.0,1.0,1.0,27.79533203125,36.953229586105486,1007.1024833248093,51.308459267645276,184574.5
1712791955.34,0,0,38.5,0.0,1.0,1.0,27.81662109375,36.77939833224488,1007.1059686351907,51.27929839139058,185902.5
1712791957.3,0,0,38.5,0.0,1.0,1.0,27.84015625,36.63767148477427,1007.1045619108947,51.291068123568735,189160.5
1712791959.29,0,0,38.0,0.0,1.0,1.0,27.86359375,36.48453909958368,1007.0857412983061,51.4485375803374,192256.5
