Time,pm25,pm10,Temperature,Pressure,Humidity,Altitude,Gas
1707953896.0746756,0,3,34.7880078125,692.6947881967876,100,3095.0960444746106,92888
1707953897.0866747,0,3,23.0231640625,1005.0991948582716,47.38207484756683,68.08310710972005,24531
1707953898.0987628,0,3,23.05734375,1005.0953182636143,47.28058357539128,68.11559422523142,28346
1707953899.1108527,0,3,23.094453125,1005.0945384798575,47.12983803073139,68.12212907727024,32455
1707953900.1229615,0,3,23.1284375,1005.0920468512439,46.99123629582895,68.1430097966163,36362
1707953901.135042,1,3,23.1571484375,1005.0928995203451,46.84590317159841,68.13586412656952,40060
1707953902.1471102,1,3,23.184296875,1005.1014858935699,46.70668584652139,68.06390754153105,43455
1707953903.1592195,1,3,23.2067578125,1005.1040764486587,46.59176128476052,68.04219794966198,48884
1707953904.1713443,1,3,23.225703125,1005.1025996824983,46.4826710254454,68.05457366650359,52433
1707953905.1836157,1,3,23.241328125,1005.1042498892745,46.391791518442666,68.04074446936085,55469
1707953906.1957064,1,3,23.25421875,1005.1048373861149,46.306808886306015,68.03582108495371,58333
1707953907.207809,1,3,23.266328125,1005.1024208603661,46.2279478995987,68.05607224739606,61210
1707953908.21997,1,3,23.27765625,1005.1055913262375,46.14902765804984,68.02950286368441,64151
1707953909.2316322,1,3,23.28703125,1005.1055485862291,46.08842119154335,68.02986103635813,66574
1707953910.2436786,1,4,23.295625,1005.1128116597347,46.02774194106027,67.96899471879696,68863
1707953911.25589,1,4,23.3024609375,1005.1137465935661,45.97304130965903,67.96115977239894,71027
1707953912.2666817,1,4,23.3094921875,1005.1098477228393,45.92454528695513,67.99383318584333,73455
1707953913.2774713,1,4,23.31515625,1005.10026308277,45.88822785417091,68.07415506117746,75274
1707953914.288304,1,4,23.3219921875,1005.0994789893313,45.86438197914146,68.08072600364777,77119
1707953915.2990928,1,4,23.3270703125,1005.0975217015678,45.834169004681826,68.0971286909482,79340
1707953916.3110206,1,5,23.3321484375,1005.0938459137849,45.79163920074214,68.12793301901195,81167
1707953917.3230958,1,5,23.336640625,1005.0926429331766,45.77368861016996,68.13801441769837,83080
1707953918.3351772,1,5,23.3415234375,1005.0903639668588,45.74962646684352,68.15711298014726,84677
1707953919.347291,1,5,23.346015625,1005.0908791484111,45.72552130822659,68.15279556924133,86083
1707953920.3594353,1,5,23.3505078125,1005.0896758441004,45.7198929597667,68.162879704771,87886
1707953921.371486,1,5,23.3548046875,1005.081277531921,45.708083748946535,68.23326094170586,89766
1707953922.3835847,1,5,23.35890625,1005.0811499145207,45.70856754660414,68.23433043056605,90503
1707953923.3956456,1,5,23.3628125,1005.0738272410658,45.696712875929116,68.29569777689049,92791
1707953924.407673,1,5,23.3665234375,1005.0661831801898,45.684835880371466,68.35975888271702,96259
1707953925.4196916,1,5,23.3696484375,1005.0696044536941,45.66673392173966,68.33108682732767,97322
1707953926.4317222,1,5,23.3731640625,1005.0685127951174,45.65483574008564,68.34023548666639,98906
1707953927.443773,1,5,23.377265625,1005.0683847577047,45.61838629238259,68.34130850644837,100830
1707953928.4556763,1,4,23.381953125,1005.0760942714417,45.60047481946256,68.27669898875828,101526
1707953929.4678118,1,4,23.385078125,1005.0709229891327,45.57622757550933,68.32003683413019,103433
1707953930.479908,1,4,23.3876171875,1005.0716619441168,45.56422009729648,68.31384402312143,104167
1707953931.4919446,0,3,23.391328125,1005.0743282320718,45.540046583794506,68.29149923202291,105729
1707953932.504009,0,3,23.395234375,1005.0738786719958,45.53435408563284,68.29526676095315,106689
1707953933.5160398,0,3,23.3993359375,1005.0771873265974,45.5225330285819,68.26753868132131,107930
1707953934.528086,0,3,23.403046875,1005.0798535019075,45.5168180127287,68.24519493369947,109676
1707953935.5406926,0,3,23.406953125,1005.0862779768222,45.51112611084471,68.19135514307439,110502
1707953936.5521116,0,3,23.4091015625,1005.0846557647885,45.48677555691401,68.2049499330679,112118
1707953937.5628812,0,4,23.4110546875,1005.0827123000807,45.47470482497836,68.22123697321132,112908
1707953938.5736964,0,4,23.4133984375,1005.0796926764905,45.468830430665335,68.24654272162941,114004
1707953939.5844905,0,4,23.416328125,1005.0827923948549,45.45687559909597,68.22056574528717,115347
1707953940.5953279,0,3,23.41984375,1005.0851371737954,45.46343820641697,68.20091552990674,115574
1707953941.6072936,0,3,23.422578125,1005.0913528367696,45.45146069234378,68.14882588814146,117344
1707953942.6193564,0,3,23.425703125,1005.0896179417342,45.445678739413935,68.16336494827908,117972
1707953943.6314766,0,3,23.42765625,1005.0893929062781,45.44590821185081,68.16525082987445,119168
1707953944.6435869,0,3,23.4298046875,1005.0826146108132,45.44001166790911,68.22205565045854,119411
1707953945.6556554,0,3,23.432734375,1005.0771210974501,45.42805850659499,68.26809371195976,120637
1707953946.6677945,0,3,23.434296875,1005.0659417855945,45.42824203895242,68.36178189823771,121552
1707953947.6798987,0,3,23.43703125,1005.065282795282,45.422414829903325,68.36730459072407,121888
1707953948.6924624,0,3,23.4395703125,1005.0539907277856,45.41041685537432,68.46193863211406,123166
1707953949.7034953,1,5,23.4425,1005.050215525544,45.40461309076229,68.49357719729963,123511
1707953950.7142916,1,5,23.446015625,1005.0508411539346,45.39887828054497,68.48833403191057,124295
1707953951.725098,1,5,23.4485546875,1005.0464234238248,45.39302896502397,68.5253574875868,125445
1707953952.7360146,1,5,23.4516796875,1005.0515625643512,45.3811015629149,68.48228815526608,127073
1707953953.746828,1,5,23.4548046875,1005.0429522808041,45.36302848330937,68.55444801937227,127533
