Time,CPM
1710974522.08702,14
1710974532.0974336,16
1710974542.1078315,14
1710974552.1182249,6
1710974562.1285882,12
1710974572.1389852,16
1710974582.1493657,13
1710974592.1597474,16
1710974602.1700945,15
1710974612.1804235,18
1710974622.1907847,11
1710974632.2011547,11
