Time,CPM
1710976265.7475886,5
1710976275.7578022,9
1710976285.7676153,11
1710976295.7760706,8
1710976305.7863262,18
1710976315.7965147,26
1710976325.8067343,14
1710976335.816907,18
1710976345.827257,18
1710976355.8376389,17
1710976365.847988,20
1710976375.858338,20
